ydeg ymin ysec xdeg xmin xsec sourcedist
19 19 15 70 35 15 1
19 19 15 70 35 45 2
19 19 45 70 35 45 3
19 20 15 70 35 45 4
19 23 45 70 33 15 1
19 23 45 70 33 45 2
19 24 15 70 33 45 3
19 24 15 70 34 15 4
19 23 45 70 34 15 5
19 23 45 70 34 45 6
19 23 45 70 35 15 7
19 23 45 70 35 45 8
19 24 15 70 35 45 9
19 23 15 70 37 45 1
19 22 45 70 37 45 2
19 22 45 70 38 15 3
19 22 15 70 38 15 4
19 22 15 70 38 45 5
19 22 15 70 39 15 6
19 23 45 70 38 45 1
19 23 15 70 38 45 2
19 23 15 70 39 15 3
19 22 45 70 39 15 4
19 22 15 70 39 15 5
19 23 45 70 37 15 1
19 23 45 70 36 45 2
19 27 15 70 41 45 1
19 29 15 70 42 45 1
19 29 15 70 43 15 2
19 29 15 70 43 45 3
19 24 15 70 40 15 1
19 23 45 70 40 15 2
19 23 45 70 40 45 3
19 23 15 70 40 45 4
19 23 15 70 41 15 5
19 22 45 70 41 15 6
19 22 45 70 40 45 7
19 22 15 70 40 45 8
19 21 45 70 40 45 9
19 21 45 70 41 15 10
19 21 15 70 41 15 11
19 20 45 70 41 15 12
19 20 45 70 40 45 13
19 20 15 70 40 45 14
19 20 15 70 41 15 15
19 20 15 70 41 45 16
19 19 45 70 41 45 17
19 19 45 70 42 15 18
19 19 15 70 45 15 1
19 19 15 70 44 45 2
19 19 15 70 44 15 3
19 19 45 70 44 15 4
19 19 15 70 44 15 5
19 19 45 70 44 15 6
19 19 45 70 43 45 7
19 19 45 70 43 15 8
19 19 45 70 42 45 9
19 25 15 70 34 45 1
19 27 15 70 31 45 1
19 27 15 70 32 15 2
19 27 15 70 32 45 3
19 27 45 70 32 45 4
19 27 45 70 33 15 5
19 27 45 70 33 45 6
19 27 45 70 34 15 7
19 28 15 70 34 15 8
19 28 15 70 34 45 9
19 28 45 70 34 45 10
19 28 45 70 35 15 11
19 28 45 70 35 45 12
19 28 45 70 36 15 13
19 29 15 70 36 15 14
19 29 15 70 36 45 15
19 29 15 70 37 15 16
19 29 15 70 37 45 17
19 28 45 70 37 45 18
19 28 45 70 38 15 19
19 28 45 70 38 45 20
19 28 15 70 38 45 21
19 28 15 70 39 15 22
19 28 15 70 39 45 23
19 27 45 70 39 45 24
19 27 45 70 40 15 25
19 27 45 70 40 45 26
19 27 45 70 41 15 27
19 27 45 70 41 45 28
19 27 15 70 41 45 29
19 27 15 70 42 15 30
19 27 15 70 42 45 31
19 27 45 70 42 45 32
19 28 15 70 42 45 33
19 25 15 70 34 45 1
19 24 45 70 34 45 2
19 24 45 70 35 15 3
19 24 15 70 35 15 4
19 24 45 70 35 15 5
19 24 15 70 35 15 6
19 24 15 70 34 45 7
19 23 45 70 34 45 8
19 23 45 70 35 15 9
19 36 15 70 58 45 1
19 35 45 70 58 45 2
19 35 15 70 58 45 3
19 35 15 70 59 15 4
19 34 45 70 59 15 5
19 26 45 70 42 15 1
19 27 15 70 42 15 2
19 19 15 70 44 45 1
19 18 45 70 44 45 2
19 18 45 70 44 15 3
19 18 15 70 44 15 4
19 18 15 70 43 45 5
19 28 15 70 37 15 1
