ydeg ymin ysec xdeg xmin xsec sourcedist
19 13 15 70 50 45 84
19 35 45 72 5 45 40
18 51 45 71 48 45 116
18 35 45 70 40 15 101
18 43 45 70 31 45 82
19 44 15 72 25 45 8
18 19 15 73 6 45 1
18 29 15 72 10 45 133
19 12 45 72 36 15 537
18 23 45 72 8 15 4
18 24 15 74 3 45 75
18 30 15 70 19 45 2
18 34 15 68 51 45 134
18 34 15 70 2 15 68
19 5 45 71 17 45 4
18 18 15 73 39 45 117
19 33 15 72 38 15 85
19 47 15 71 35 15 368
18 27 45 70 17 15 44
18 23 45 74 4 15 73
18 46 15 72 2 15 29
19 9 45 70 20 15 43
18 33 45 68 51 45 135
18 24 15 72 0 45 1
18 57 15 71 17 15 4
18 14 15 72 14 45 6
18 59 45 71 48 45 113
18 50 45 72 7 45 365
18 48 45 71 2 45 43
19 34 15 71 0 45 228
18 32 45 69 20 15 119
18 30 15 74 22 15 70
19 33 15 70 54 45 176
19 39 45 72 33 15 96
18 12 15 74 2 45 41
18 14 15 72 53 45 117
19 8 15 71 37 45 62
19 19 45 70 42 45 107
18 53 15 70 31 15 53
18 39 45 71 3 45 27
19 26 45 70 58 45 254
18 21 15 74 10 45 10
18 21 45 73 18 15 131
18 25 45 71 28 45 1
19 30 15 71 54 45 96
19 45 45 70 50 45 179
18 28 45 74 20 15 136
18 25 15 70 1 15 134
18 35 45 74 11 45 189
18 23 45 73 22 45 166
19 23 15 70 57 15 276
19 19 45 70 58 15 291
19 41 15 72 3 45 2
18 34 15 69 10 15 46
18 57 45 71 17 15 3
18 33 45 68 51 15 136
18 24 15 68 38 45 147
18 18 45 72 37 45 96
19 4 45 70 42 15 80
18 24 15 70 5 45 6
18 46 15 72 29 45 45
18 28 45 72 25 15 61
18 39 15 68 44 15 94
19 32 15 72 33 45 40
19 13 45 71 39 15 34
18 7 45 73 51 15 51
19 29 15 72 36 45 62
19 37 45 72 26 15 1
18 54 15 72 14 45 394
18 46 45 71 35 15 9
18 36 15 70 34 45 7
19 19 45 72 3 45 72
18 54 45 71 54 45 1
18 43 15 71 9 15 102
18 15 15 72 33 15 110
18 25 45 71 28 15 3
19 37 15 71 46 15 74
18 36 15 68 53 45 124
18 38 15 69 41 45 35
19 50 15 72 31 45 141
19 33 15 71 45 15 48
18 21 45 72 39 15 6
18 25 15 72 24 15 1
19 25 45 72 2 45 3
19 22 15 71 9 45 230
18 31 45 72 35 15 115
18 51 45 71 55 15 131
18 50 15 68 51 45 40
18 25 45 71 27 15 5
18 27 15 74 20 15 133
18 47 45 71 8 45 47
18 26 45 72 41 15 40
19 12 15 70 40 45 44
18 35 45 70 8 45 86
18 13 15 73 53 15 6
18 45 45 72 14 15 70
18 23 45 73 26 45 86
19 5 45 72 20 15 8
19 30 15 71 55 15 97
18 47 45 72 6 15 42
19 24 15 72 41 15 36
18 25 45 73 2 15 3
19 38 15 71 10 15 253
18 47 15 71 15 15 62
19 27 45 72 3 45 46
19 11 15 72 8 15 191
19 10 15 72 14 45 36
18 46 15 71 7 45 36
18 21 15 73 49 15 40
18 29 45 72 8 45 1
18 11 15 71 10 45 1
18 51 45 71 50 15 117
19 29 15 71 5 45 268
